"Calculations Configuration Report    Date: 22/09/2022 13:42:33"
"Statistical Activity: Inventories Local    Mode: INT23"

Name,Description,Type,Dataset,Status,Replace Nulls With Zero,Start Date,End Date,Type Specific Details,Selection Criteria,Dimension Mappings,Date Created,Date Last Used
"5.8.2 Copy FLAGS for Unbal","Unbal copy group FLAGS, A, All Assets and Industries data from Local (Stock Holding Period)",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 00.020 Stock Holding Period}{status = Work in progress}}"," {Industry = *} {Asset = *} {Prices = group FLAGS} {Periodicity = 'A'}","{Industry-> (Direct) Industry}{TOTAL-> (Unmapped) Product}{Asset-> (Direct) Asset}{S.1-> (Unmapped) Sector}{BV-> (Unmapped) Measure}{LOCAL-> (Unmapped) Source}{R1.2-> (Unmapped) Adjustment Basis}{Prices-> (Direct) Price}{Periodicity-> (Direct) Periodicity}",25/08/2022 09:43:58,16/09/2022 14:16:57
"5.9.1 Copy PROP for Unbal Inv","Copy PROP, AN.121, R0 data for Product Pattern Prep for Unbalanced Inventories",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 00.080 Product Pattern Input}{status = Work in progress}}"," {Industry = *} {Product = *} {Adjustment = 'R0'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{AN.121-> (Unmapped) Asset}{S.1-> (Unmapped) Sector}{pattern-> (Unmapped) Measure}{LOCAL-> (Unmapped) Source}{Adjustment-> (Direct) Adjustment Basis}{CP-> (Unmapped) Price}{A-> (Unmapped) Periodicity}",23/08/2022 15:48:44,16/09/2022 14:17:02
"5.9.2 Copy Patt Adj Unbal Inv","Copy P (Pattern), AN.121, A0.1 adjustments for Product Pattern Prep for Unbalanced Inventories",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = 00.080 Product Pattern Input}{status = Work in progress}}"," {Industry = *} {Product = *} {Adjustment = 'A0.1'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{AN.121-> (Unmapped) Asset}{S.1-> (Unmapped) Sector}{pattern-> (Unmapped) Measure}{LOCAL-> (Unmapped) Source}{Adjustment-> (Direct) Adjustment Basis}{CP-> (Unmapped) Price}{A-> (Unmapped) Periodicity}",23/08/2022 15:54:49,16/09/2022 14:17:05
"90.010b Copy 00.010 to Completed","Copy 00.010 to Completed",COPY BETWEEN DATASETS,"00.010 SILVER data for Satellite",Completed,N, , ,"{source dataset{name = 00.010 SILVER data for Satellite}{status = Work in progress}}"," {Industry = *} {Asset = *} {Measure = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}",27/08/2014 14:25:21,03/09/2021 13:42:56
"90.020b Copy 00.020 to Completed","Copy 00.020 to Completed",COPY BETWEEN DATASETS,"00.020 Stock Holding Period",Completed,N, , ,"{source dataset{name = 00.020 Stock Holding Period}{status = Work in progress}}"," {Industry = *} {Asset = *} {Prices = *} {Periodicity = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Prices-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}",27/08/2014 14:26:44,03/09/2021 13:43:14
"90.040b Copy 00.040 to Completed","Copy all data in 00.040 to Completed",COPY BETWEEN DATASETS,"4.4 Process Satellite Adjustment",Completed,N, , ,"{source dataset{name = 4.4 Process Satellite Adjustment}{status = Work in progress}}"," {Industry = *} {Asset = *} {Sector = *} {Price = *} {Adjustment Basis = *} {Seasonal Adjustment = *} {Periodicity = *} {Product = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Sector-> (Direct) Sector}{Price-> (Direct) Price}{Adjustment Basis-> (Direct) Adjustment Basis}{Seasonal Adjustment-> (Direct) Seasonal Adjustment}{Periodicity-> (Direct) Periodicity}{Product-> (Direct) Product}",21/03/2018 10:14:00,03/09/2021 13:43:18
"90.080a Copy Wip to Comp pattern","Copy Wip to Comp pattern input data",COPY BETWEEN DATASETS,"00.080 Product Pattern Input",Completed,N, , ,"{source dataset{name = 00.080 Product Pattern Input}{status = Work in progress}}"," {Industry = *} {Product = *} {Adjustment = *}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Adjustment-> (Direct) Adjustment}",10/10/2019 09:32:12,03/09/2021 13:43:33
"90.090b Copy 00.090 to Completed","Copy data in dataset 00.090 to Completed",COPY BETWEEN DATASETS,"00.090 Product Breakdown",Completed,N, , ,"{source dataset{name = 00.090 Product Breakdown}{status = Work in progress}}"," {Industry = *} {Asset = *} {Product = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Product-> (Direct) Product}",20/04/2018 11:30:25,03/09/2021 13:43:48
"90.100b Copy 00.100 to Completed","Copy 00.100 to Completed",COPY BETWEEN DATASETS,"00.100 Sector Breakdown",Completed,N, , ,"{source dataset{name = 00.100 Sector Breakdown}{status = Work in progress}}"," {Sector = *}","{Sector-> (Direct) Sector}",05/04/2018 11:08:30,03/09/2021 13:44:02
"90.101b Copy 01.00 to Completed","Copy 01.00 to Completed for inds 45, 46, 47",COPY BETWEEN DATASETS,"4.1 Process QSI Industries",Completed,N, , ,"{source dataset{name = 4.1 Process QSI Industries}{status = Work in progress}}"," {QSI Industry = 45,46,47} {QSI Question = group AN Output inc AN.125 exc 123.OTH} {Measure = OUTPUT}","{QSI Industry-> (Direct) QSI Industry}{QSI Question-> (Direct) QSI Question}{Measure-> (Direct) Measure}",30/09/2010 10:26:48,03/09/2021 13:44:31
"90.101c Copy 01.00 to Completed","Copy 01.00 to Completed for all industries except 45, 46, 47",COPY BETWEEN DATASETS,"4.1 Process QSI Industries",Completed,N, , ,"{source dataset{name = 4.1 Process QSI Industries}{status = Work in progress}}"," {QSI Industry = group SUT Bottom level exc 45 46 47} {QSI Question = group AN Output} {Measure = OUTPUT}","{QSI Industry-> (Direct) QSI Industry}{QSI Question-> (Direct) QSI Question}{Measure-> (Direct) Measure}",04/07/2018 13:04:59,03/09/2021 13:44:36
"90.102b Copy 02.00 to Completed","Copy 02.00 to Completed",COPY BETWEEN DATASETS,"4.2 Process Non-QSI Industries",Completed,N, , ,"{source dataset{name = 4.2 Process Non-QSI Industries}{status = Work in progress}}"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}{Periodicity-> (Direct) Periodicity}",20/09/2010 14:03:21,03/09/2021 13:44:51
"90.103b Copy 03.00 to Completed","Copy 03.00 to Completed",COPY BETWEEN DATASETS,"4.3 Process ABI Adjustment",Completed,N, , ,"{source dataset{name = 4.3 Process ABI Adjustment}{status = Work in progress}}"," {Industry = *} {Asset = *} {Adjustment Basis = *} {Source = *} {Periodicity = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Adjustment Basis-> (Direct) Adjustment Basis}{Source-> (Direct) Source}{Periodicity-> (Direct) Periodicity}",27/08/2014 14:19:43,03/09/2021 13:45:07
"90.104b WiP to comp 05.00","Copy deflator adjustments to completed",COPY BETWEEN DATASETS,"05.00 Deflator adjustments",Completed,N, , ,"{source dataset{name = 05.00 Deflator adjustments}{status = Work in progress}}"," {Product = *}","{Product-> (Direct) Product}",05/10/2018 10:09:20,03/09/2021 13:45:23
"90.301b WiP to Comp 06.00","Copy Work in progress data to Completed in dataset 06.00",COPY BETWEEN DATASETS,"06.00 TEMPORARY RP (Balanced)",Completed,N, , ,"{source dataset{name = 06.00 TEMPORARY RP (Balanced)}{status = Work in progress}}"," {Industry = *} {Asset = *} {Price = *} {Seasonal Adjustment = *}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Price-> (Direct) Price}{Seasonal Adjustment-> (Direct) Seasonal Adjustment}",24/10/2018 11:36:11,03/09/2021 13:45:44
"90.950b Copy 00.950 to Completed","Copy 00.950 to Completed",COPY BETWEEN DATASETS,"00.950 EU data for Satellite",Completed,N, , ,"{source dataset{name = 00.950 EU data for Satellite}{status = Work in progress}}"," {Industry = *} {Measure = *} {Prices = *} {Periodicity = *}","{Industry-> (Direct) Industry}{Measure-> (Direct) Measure}{Prices-> (Direct) Prices}{Periodicity-> (Direct) Periodicity}",27/08/2014 14:30:23,03/09/2021 13:44:17
"t4.3.1.3 Copy QSI quarterly data","Temporarily copy QSI quarterly data from legacy",COPY BETWEEN DATASETS,"4.3 Process ABI Adjustment",Work in progress,N, , ,"{source dataset{name = TEMP Legacy QSI}{status = Work in progress}}"," {QSI Industry = group SUT Bottom level} {QSI Question = AN.121.OTHER, AN.122.OTHER, AN.123.OTHER} {Measure = OUTPUT}","{QSI Industry-> (Direct) Industry}{QSI Question-> (Direct) Asset}{RF-> (Unmapped) Adjustment Basis}{QSI-> (Unmapped) Source}{Q-> (Unmapped) Periodicity}",15/09/2022 10:22:27,16/09/2022 14:15:20
"t5.1.1 Copy BV QSI for Unbal Inv","Temporary copy data from Legacy(QSI) 1/2",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = TEMP Legacy QSI}{status = Work in progress}}"," {QSI Industry = group SUT Bottom level exc 45 46 47} {QSI Question = group AN Output} {Measure = OUTPUT}","{QSI Industry-> (Direct) Industry}{TOTAL-> (Unmapped) Product}{QSI Question-> (Direct) Asset}{S.1-> (Unmapped) Sector}{BV-> (Unmapped) Measure}{QSI-> (Unmapped) Source}{RF-> (Unmapped) Adjustment Basis}{CP-> (Unmapped) Price}{Q-> (Unmapped) Periodicity}",15/09/2022 09:52:05,16/09/2022 14:16:06
"t5.1.2 Copy BV QSI for Unbal Inv","Temporary copy data from Legacy(QSI) 2/2",COPY BETWEEN DATASETS,"5.1 Output Unbalanced Invent",Completed,N, , ,"{source dataset{name = TEMP Legacy QSI}{status = Work in progress}}"," {QSI Industry = '45','46','47'} {QSI Question = group AN Output inc AN.125 exc 123.OTH} {Measure = OUTPUT}","{QSI Industry-> (Direct) Industry}{TOTAL-> (Unmapped) Product}{QSI Question-> (Direct) Asset}{S.1-> (Unmapped) Sector}{BV-> (Unmapped) Measure}{QSI-> (Unmapped) Source}{RF-> (Unmapped) Adjustment Basis}{CP-> (Unmapped) Price}{Q-> (Unmapped) Periodicity}",15/09/2022 09:52:51,16/09/2022 14:16:11
"07.00 Delete Completed SU Q Adj","Delete from completed status in 07.00 SU Qual adj",DELETE DATA,"4.7 Process SU Qual Adjustments",Completed,N, , ,"n/a"," {Industry = *} {Asset = *} {Product = *} {Price = *} {Adjustment Basis = *}","n/a",24/04/2020 13:17:51,03/09/2021 13:45:48
"1.1.1 Del previous data","Delete data from previous task run from 1.2",DELETE DATA,"1.2 Input Non-QSI",Work in progress,N, , ,"n/a"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *}","n/a",25/08/2022 15:13:12,16/09/2022 14:13:55
"1.1.2 Del previous data","Delete data from previous task run from 1.3",DELETE DATA,"1.3  Input ABI",Work in progress,N, , ,"n/a"," {Industry = *} {Asset = *} {Adjustment Basis = *} {Source = *} {Periodicity = *}","n/a",25/08/2022 15:14:53,16/09/2022 14:13:56
"1.1.3 Del previous data","Delete data from previous task run from 1.4",DELETE DATA,"1.4 Input DEFRA",Work in progress,N, , ,"n/a"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *} {Adjustments = *}","n/a",25/08/2022 15:15:19,16/09/2022 14:13:56
"2.1.1 Del 2.1 prev run data","Delete 2.1 data from previous task run",DELETE DATA,"2.1 Input Adjustment QSI A1.2",Work in progress,N, , ,"n/a"," {QSI Industry = *} {QSI Question = *} {Measure = *}","n/a",25/08/2022 21:05:06,16/09/2022 14:14:12
"2.1.2 Del 2.2 prev run data","Delete 2.2 data from previous task run",DELETE DATA,"2.2 Input Adjustment NonQSI A1.2",Work in progress,N, , ,"n/a"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *}","n/a",25/08/2022 21:05:37,16/09/2022 14:14:13
"2.1.3 Del 2.3 prev run data","Delete 2.3 data from previous task run",DELETE DATA,"2.3 Input Adjustment ABI A1.2",Work in progress,N, , ,"n/a"," {Industry = *} {Asset = *} {Adjustment Basis = *} {Source = *} {Periodicity = *}","n/a",25/08/2022 21:06:12,16/09/2022 14:14:14
"2.1.4 Del 2.4 prev run data","Delete 2.4 data from previous task run",DELETE DATA,"2.4 Input Adjustment SU Quality",Work in progress,N, , ,"n/a"," {Industry = *} {Asset = *} {Product = *} {Price = *} {Adjustment Basis = *}","n/a",25/08/2022 21:06:39,16/09/2022 14:14:15
"2.1.5 Del 2.5 data prev run","Delete 2.5 data from previous task run",DELETE DATA,"2.5 Input Satellite Adjustments",Work in progress,N, , ,"n/a"," {Industry = *} {Asset = *} {Product = *} {Sector = *} {Price = *} {Adjustment Basis = *} {Seasonal Adjustment = *} {Periodicity = *}","n/a",25/08/2022 21:07:04,16/09/2022 14:14:15
"3.1.1 Del 3.1 prev run data","Delete 3.1 data from previous task run",DELETE DATA,"3.1 Input Sector Ind Pattern",Work in progress,N, , ,"n/a"," {Industry = *} {Sector = *} {Measure = *}","n/a",25/08/2022 21:14:27,16/09/2022 14:14:27
"4.0.1.1 Del 4.1 Processing Data","Deletes previous task run processing data from Processing Dataset 4.1",DELETE DATA,"4.1 Process QSI Industries",Work in progress,N, , ,"n/a"," {QSI Industry = *} {QSI Question = *} {Measure = *}","n/a",05/08/2022 11:52:44,16/09/2022 14:14:31
"4.0.1.2 Del 4.2 Processing Data","Deletes previous task run processing data from Processing Dataset 4.2",DELETE DATA,"4.2 Process Non-QSI Industries",Work in progress,N, , ,"n/a"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *}","n/a",05/08/2022 11:53:30,16/09/2022 14:14:31
"4.0.1.3 Del 4.3 Processing Data","Deletes previous task run processing data from Processing Dataset 4.3",DELETE DATA,"4.3 Process ABI Adjustment",Work in progress,N, , ,"n/a"," {Industry = *} {Asset = *} {Adjustment Basis = *} {Source = *} {Periodicity = *}","n/a",05/08/2022 12:01:21,16/09/2022 14:14:32
"4.0.1.4 Del 4.4 Processing Data","Deletes previous task run processing data from Processing Dataset 4.4",DELETE DATA,"4.4 Process Satellite Adjustment",Work in progress,N, , ,"n/a"," {Industry = *} {Asset = *} {Sector = *} {Price = *} {Adjustment Basis = *} {Seasonal Adjustment = *} {Periodicity = *} {Product = *}","n/a",05/08/2022 12:01:57,16/09/2022 14:14:32
"4.0.1.5 Del 4.5 Processing Data","Deletes previous task run processing data from Processing Dataset 4.5",DELETE DATA,"4.5 Process DEFRA Delivery",Work in progress,N, , ,"n/a"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *} {Adjustments = *}","n/a",05/08/2022 12:02:58,16/09/2022 14:14:42
"4.0.1.6 Del 4.6 Processing Data","Deletes previous task run processing data from Processing Dataset 4.6",DELETE DATA,"4.6 Process Ind Sector Pattern",Work in progress,N, , ,"n/a"," {Industry = *} {Sector = *} {Measure = *}","n/a",05/08/2022 12:04:56,16/09/2022 14:14:43
"4.0.1.7 Del 4.7 Processing Data","Deletes previous task run processing data from Processing Dataset 4.7",DELETE DATA,"4.7 Process SU Qual Adjustments",Work in progress,N, , ,"n/a"," {Industry = *} {Asset = *} {Product = *} {Price = *} {Adjustment Basis = *}","n/a",05/08/2022 12:05:43,16/09/2022 14:14:53
"5.0.1.1 Delete prev task data","Deletes data from previously run task from the Unbalanced Inventories output dataset",DELETE DATA,"5.1 Output Unbalanced Invent",Completed,N, , ,"n/a"," {Industry = *} {Product = *} {Asset = *} {Sector = *} {Measure = *} {Source = *} {Adjustment Basis = *} {Price = *} {Periodicity = *}","n/a",25/08/2022 14:16:43,16/09/2022 14:15:57
"5.12.1 Delete Completed 4.4","Deleted completed in 4.4 Process Satellite Adjustment",DELETE DATA,"4.4 Process Satellite Adjustment",Completed,N, , ,"n/a"," {Industry = *} {Asset = *} {Sector = *} {Price = *} {Adjustment Basis = *} {Seasonal Adjustment = *} {Periodicity = *} {Product = *}","n/a",13/09/2022 15:13:24,16/09/2022 14:17:23
"5.12.2 Delete Completed 4.6","Deleted completed in 4.6 Process Ind Sector Pattern",DELETE DATA,"4.6 Process Ind Sector Pattern",Completed,N, , ,"n/a"," {Industry = *} {Sector = *} {Measure = *}","n/a",13/09/2022 15:13:24,16/09/2022 14:17:34
"90.010a Delete from Completed","Delete all data from Completed status",DELETE DATA,"00.010 SILVER data for Satellite",Completed,N, , ,"n/a"," {Industry = *} {Asset = *} {Measure = *}","n/a",25/09/2014 15:32:48,03/09/2021 13:42:56
"90.020a Delete from Completed","Delete all data from Completed status",DELETE DATA,"00.020 Stock Holding Period",Completed,N, , ,"n/a"," {Industry = *} {Asset = *} {Prices = *} {Periodicity = *}","n/a",25/09/2014 15:35:18,03/09/2021 13:43:00
"90.040a Delete Completed","Deleted completed in 00.040 Adjustments for Satellite",DELETE DATA,"4.4 Process Satellite Adjustment",Completed,N, , ,"n/a"," {Industry = *} {Asset = *} {Sector = *} {Price = *} {Adjustment Basis = *} {Seasonal Adjustment = *} {Periodicity = *} {Product = *}","n/a",21/03/2018 10:12:58,03/09/2021 13:43:18
"90.080 Delete Pattern input","Delete Pattern input",DELETE DATA,"00.080 Product Pattern Input",Completed,N, , ,"n/a"," {Industry = *} {Product = *} {Adjustment = *}","n/a",10/10/2019 09:32:12,03/09/2021 13:43:22
"90.090a Delete Completed","Delete completed data in the 00.090 Product breakdown dataset",DELETE DATA,"00.090 Product Breakdown",Completed,N, , ,"n/a"," {Industry = *} {Asset = *} {Product = *}","n/a",20/04/2018 11:29:11,03/09/2021 13:43:38
"90.100a Delete from Completed","Delete from Completed",DELETE DATA,"00.100 Sector Breakdown",Completed,N, , ,"n/a"," {Sector = *}","n/a",05/04/2018 11:07:55,03/09/2021 13:43:52
"90.101a Delete from Completed","Delete all data from Completed status",DELETE DATA,"4.1 Process QSI Industries",Completed,N, , ,"n/a"," {QSI Industry = *} {QSI Question = *} {Measure = OUTPUT}","n/a",25/09/2014 15:41:19,03/09/2021 13:44:21
"90.102a Delete from Completed","Delete all data from Completed status",DELETE DATA,"4.2 Process Non-QSI Industries",Completed,N, , ,"n/a"," {Industry = *} {Asset = *} {Measure = *} {Periodicity = *}","n/a",25/09/2014 15:42:43,03/09/2021 13:44:40
"90.103a Delete from Completed","Delete all data from Completed status",DELETE DATA,"4.3 Process ABI Adjustment",Completed,N, , ,"n/a"," {Industry = group Bottom level} {Asset = AN.12} {Adjustment Basis = R1.2} {Source = ABI} {Periodicity = A}","n/a",25/09/2014 15:43:25,03/09/2021 13:44:56
"90.104a Delete from comp 05.00","Delete completed from deflator dataset",DELETE DATA,"05.00 Deflator adjustments",Completed,N, , ,"n/a"," {Product = *}","n/a",05/10/2018 10:08:33,03/09/2021 13:45:12
"90.201a 00.200 Delete from comp","Delete completed from ind sector pattern",DELETE DATA,"4.6 Process Ind Sector Pattern",Completed,N, , ,"n/a"," {Industry = *} {Sector = *} {Measure = *}","n/a",08/10/2018 21:14:58,03/09/2021 13:45:28
"90.301a Delete Completed 06.00","Delete Completed data in dataset 06.00",DELETE DATA,"06.00 TEMPORARY RP (Balanced)",Completed,N, , ,"n/a"," {Industry = *} {Asset = *} {Price = *} {Seasonal Adjustment = *}","n/a",24/10/2018 11:36:11,03/09/2021 13:45:44
"90.950a Delete from Completed","Delete all data from Completed status",DELETE DATA,"00.950 EU data for Satellite",Completed,N, , ,"n/a"," {Industry = *} {Measure = *} {Prices = *} {Periodicity = *}","n/a",25/09/2014 15:45:36,03/09/2021 13:44:06
"4.1.2.1 Calculate SIC 38","Calculates QSI Industry: 38 as '99606' * 0.99 for QSI Question: group Bottom Level; Measure: RAW",FORMULA,"4.1 Process QSI Industries",Work in progress,N, , ,"{items to calculate {QSI Industry = 38}}{formula = '99606' * 0.99}"," {QSI Question = group Bottom Level} {Measure = RAW}","n/a",15/05/2012 13:26:53,13/09/2022 17:55:10
"4.1.2.10 Calc Industry 46 RAW","Calculates AN.123.OTHER as AN.121.OTHER+AN.122.OTHER+AN.123.OTHER for Industry:46; Measure:RAW",FORMULA,"4.1 Process QSI Industries",Work in progress,N, , ,"{items to calculate {QSI Question = AN.123.OTHER}}{formula = AN.121.OTHER + AN.122.OTHER + AN.123.OTHER}"," {QSI Industry = 46} {Measure = RAW}","n/a",01/02/2012 16:15:24,13/09/2022 17:55:20
"4.1.2.11 Calc Industry 47 RAW","Calculates QSI Question:AN.123.OTHER as AN.122.OTHER + AN.123.OTHER for QSI Industry:47; Measure:RAW",FORMULA,"4.1 Process QSI Industries",Work in progress,N, , ,"{items to calculate {QSI Question = AN.123.OTHER}}{formula = AN.122.OTHER + AN.123.OTHER}"," {QSI Industry = 47} {Measure = RAW}","n/a",01/02/2012 16:16:29,13/09/2022 17:55:21
"4.1.2.12 Calc 46 47 AN.123","Calculates Measure: ROUNDED as conround (RAW,0) for QSI Industry: 46, 47; QSI Question: AN.123.OTHER",FORMULA,"4.1 Process QSI Industries",Work in progress,N, , ,"{items to calculate {Measure = ROUNDED}}{formula = conround (RAW, 0)}"," {QSI Industry = 46, 47} {QSI Question = AN.123.OTHER}","n/a",01/02/2012 16:18:37,13/09/2022 17:55:25
"4.1.2.13 Calc 47 AN.121.OTHER","Calculates Measure: ROUNDED as conround (RAW,0) for QSI industry:47; QSI Question: AN.121.OTHER",FORMULA,"4.1 Process QSI Industries",Work in progress,N, , ,"{items to calculate {Measure = ROUNDED}}{formula = conround (RAW, 0)}"," {QSI Industry = 47} {QSI Question = AN.121.OTHER}","n/a",01/02/2012 16:19:49,13/09/2022 17:55:26
"4.1.2.14 Calc measure OUTPUT","Calculates OUTPUT as ROUNDED + A1.2 for Industry:group SUT Bottom level; Question: group AN Output",FORMULA,"4.1 Process QSI Industries",Work in progress,N, ,$enddate,"{items to calculate {Measure = OUTPUT}}{formula = ROUNDED + A1.2}"," {QSI Industry = group SUT Bottom level} {QSI Question = group AN Output}","n/a",05/04/2012 14:51:23,13/09/2022 17:55:27
"4.1.2.2 Calculate SIC 39","Calculates QSI Industry: 39 as '99606'-'38' for QSI question: group Bottom Level; Measure: Raw",FORMULA,"4.1 Process QSI Industries",Work in progress,N, , ,"{items to calculate {QSI Industry = 39}}{formula = '99606'- '38'}"," {QSI Question = group Bottom Level} {Measure = RAW}","n/a",15/05/2012 13:28:31,13/09/2022 17:55:11
"4.1.2.5 Calculate AN.122.DW","Calculates QSI Question: AN.122.DW as '260' / 2 for QSI Industry: 41, 42, 43; Measure: RAW",FORMULA,"4.1 Process QSI Industries",Work in progress,N, , ,"{items to calculate {QSI Question = AN.122.DW}}{formula = '260' / 2}"," {QSI Industry = '41','42','43'} {Measure = 'RAW'}","n/a",18/06/2009 11:27:02,13/09/2022 17:55:14
"4.1.2.6 Calculate AN.123.DW","Calculates QSI Question: AN.123.DW as '260' - 'AN.122.DW' for QSI Industry:41,42,43; Measure:RAW",FORMULA,"4.1 Process QSI Industries",Work in progress,N, , ,"{items to calculate {QSI Question = AN.123.DW}}{formula = '260' - 'AN.122.DW'}"," {QSI Industry = 41,42,43} {Measure = RAW}","n/a",18/06/2009 11:36:17,13/09/2022 17:55:15
"4.1.2.7 Calculate AN.122.ND","Calculates QSI Question:AN.122.ND as '230' / 2 for QSI Industry:41,42,43; Measure:RAW",FORMULA,"4.1 Process QSI Industries",Work in progress,N, , ,"{items to calculate {QSI Question = AN.122.ND}}{formula = '230' / 2}"," {QSI Industry = 41,42,43} {Measure = RAW}","n/a",18/06/2009 11:43:05,13/09/2022 17:55:16
"4.1.2.8 Calculate AN.123.ND","Calculates QSI Question:AN.123.ND as '230'-'AN.122.ND' for QSI Industry:'41','42','43'; Measure:RAW",FORMULA,"4.1 Process QSI Industries",Work in progress,N, , ,"{items to calculate {QSI Question = AN.123.ND}}{formula = '230' -'AN.122.ND'}"," {QSI Industry = '41','42','43'} {Measure = 'RAW'}","n/a",18/06/2009 11:47:15,13/09/2022 17:55:17
"4.1.2.9 Calc measure ROUNDED","Calculates Measure:ROUNDED as conround(RAW,0) for group SUT Bottom level exc 46,47; group AN Output",FORMULA,"4.1 Process QSI Industries",Work in progress,N, , ,"{items to calculate {Measure = ROUNDED}}{formula = conround (RAW, 0)}"," {QSI Industry = group SUT Bottom level exc 46 47} {QSI Question = group AN Output}","n/a",18/06/2009 11:48:39,13/09/2022 17:55:18
"4.2.2.1 Calc 64 OTHER BVC A","Calculates Periodicity: A as aggregate (Q,A,total) for Industry:64; Asset:AN.122.OTHER; Measure:BVC",FORMULA,"4.2 Process Non-QSI Industries",Work in progress,N, , ,"{items to calculate {Periodicity = A}}{formula = aggregate (Q, A, total)}"," {Industry = 64} {Asset = AN.122.OTHER} {Measure = BVC}","n/a",24/06/2009 10:20:52,16/09/2022 14:15:06
"4.2.2.2 Calc 01 06 OTHER BVC Q","Calculates Periodicity:Q as round(spline(A,Q,total,$enddate),0) for 01,16; group other; BVC",FORMULA,"4.2 Process Non-QSI Industries",Work in progress,N, , ,"{items to calculate {Periodicity = Q}}{formula = round(spline (A, Q, total, $enddate),0)}"," {Industry = 01, 06} {Asset = group Other} {Measure = BVC}","n/a",24/06/2009 10:24:08,16/09/2022 14:15:07
"4.2.2.3 Calc 01 06 64 OTHER BV Q","Calc BV;Q as conround(cumsum(BVC:Q,value(SLEVEL:A,$slevelyear),$slevelqtr),0) for 01,06,64;Grp other",FORMULA,"4.2 Process Non-QSI Industries",Work in progress,N, , ,"{items to calculate {Measure = BV} {Periodicity = Q}}{formula = conround(cumsum (BVC:Q, value (SLEVEL:A, $slevelyear), $slevelqtr),0)}"," {Industry = 01, 06, 64} {Asset = Group Other}","n/a",24/06/2009 11:45:36,16/09/2022 14:15:08
"4.2.2.4 Calculate 46 65 84 BV","Calculates BV as round(PLEVEL*PRICE,0) for 46,65.1-2,65.3,84;group AN.123 exc SILVER; Q",FORMULA,"4.2 Process Non-QSI Industries",Work in progress,N, , ,"{items to calculate {Measure = BV}}{formula = round (PLEVEL * PRICE, 0)}"," {Industry = 46, 65.1-2, 65.3, 84} {Asset = group AN.123 exc SILVER} {Periodicity = 'Q'}","n/a",24/06/2009 14:03:23,16/09/2022 14:15:09
"4.2.2.8 Extend A1.2 to end date","Calculates Periodicity:Q using shape(Q,1996q4, $enddate, zero) for Industry:*; Asset:*; Measure:A1.2",FORMULA,"4.2 Process Non-QSI Industries",Work in progress,N, , ,"{items to calculate {Periodicity = Q}}{formula = shape( Q, 1996q4, $enddate, zero)}"," {Industry = *} {Asset = *} {Measure = A1.2}","n/a",04/04/2013 14:51:49,16/09/2022 14:15:11
"4.2.2.9 Calc measure OUTPUT","Calculates Measure:OUTPUT using round(BV+A1.2,0)",FORMULA,"4.2 Process Non-QSI Industries",Work in progress,N,1996Q4, ,"{items to calculate {Measure = OUTPUT}}{formula = round( BV + A1.2, 0)}"," {Industry = TOTAL, group Bottom level} {Asset = AN.12, group Main, group Bottom level} {Periodicity = Q}","n/a",05/04/2012 15:11:23,16/09/2022 14:15:12
"4.3.2.1 Agg QSI to Annual","Calculate Annual using Aggregate(Q,A,end)for Group bottom level; group other; RF; QSI",FORMULA,"4.3 Process ABI Adjustment",Work in progress,N, , ,"{items to calculate {Periodicity = A}}{formula = Aggregate ( Q, A, end )}"," {Industry = group Bottom level} {Asset = group Other} {Adjustment Basis = RF} {Source = QSI}","n/a",26/09/2012 14:52:57,16/09/2022 14:15:24
