Task Report     Date: 11/10/2022 19:59:25
"Task: A. Inventories Satellite    Description: Runs all Annual SUT Balanced CORD tasks from stages 00 to 13    Is Parallel: N"
Statistical Activity: Unbalanced Inventories    Mode: INT23

Order,Level,Name,Description,Parent Task,Kind,Exclude,Parallel,Line Run,Dataset,Status,Start Date,End Date,Object Type,Object Details,Selection Criteria,Dimension Mappings
46,1,"   01.007 Copy R to FIXTOT","Copy R, AN.121, R0 data to FIXTOT for Industry group Bottom level, Product *",39,CALCULATION DEFINITION,N,N,N,"01.00 Product Pattern Prep","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 01.00 Product Pattern Prep}{status = Work in progress}}"," {Industry = group Bottom level} {Asset = 'AN.121'} {Product = *} {Allocation = 'R'} {Adjustment = R0}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{Product-> (Direct) Product}{FIXTOT-> (Unmapped) Allocation}{Adjustment-> (Direct) Adjustment}"
47,1,"   01.008 FIXTOT TOT to all Product","Copy FIXTOT, AN.121, R0, Industry group Bottom level, Product TOTAL to Product group Bottom level",39,CALCULATION DEFINITION,N,N,N,"01.00 Product Pattern Prep","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 01.00 Product Pattern Prep}{status = Work in progress}}"," {Industry = group Bottom level} {Asset = 'AN.121'} {Product = TOTAL} {Allocation = 'FIXTOT'} {Adjustment = R0}","{Industry-> (Direct) Industry}{Asset-> (Direct) Asset}{group Bottom level-> (Unmapped) Product}{FIXTOT-> (Unmapped) Allocation}{Adjustment-> (Direct) Adjustment}"
48,1,"   01.009 Calc Pattern data","Divide R by FIXTOT (*100) to create P (Pattern), AN.121, R0, Industry and Product group Bottom level",39,CALCULATION DEFINITION,N,N,N,"01.00 Product Pattern Prep","Work in progress", , ,FORMULA,"{items to calculate {Allocation = P}}{formula = Round (('R'/'FIXTOT' *100),3)}"," {Industry = group Bottom level} {Asset = 'AN.121'} {Product = group Bottom level} {Adjustment = R0}","n/a"
49,1,"   01.010 Adjust Product Pattern","Add R0 and A0.1 to create RFpattern, P, AN.121, Product and Industry group Bottom level",39,CALCULATION DEFINITION,N,N,N,"01.00 Product Pattern Prep","Work in progress", , ,FORMULA,"{items to calculate {Adjustment = RFpattern}}{formula = R0 + A0.1}"," {Industry = group Bottom level} {Asset = 'AN.121'} {Product = group Bottom level} {Allocation = 'P'}","n/a"
50,1,"   01.011 Shape Extend to create RF","Shape Extend RFpattern to create RF, P, AN.121, Industry and Product group Bottom level",39,CALCULATION DEFINITION,N,N,N,"01.00 Product Pattern Prep","Work in progress", , ,FORMULA,"{items to calculate {Adjustment = RF}}{formula = Shape (RFpattern, $startyr, $endyr, extend)}"," {Industry = group Bottom level} {Asset = 'AN.121'} {Product = group Bottom level} {Allocation = 'P'}","n/a"
51,0,"02.00 Data Preparation","Copy data to 02.00 Data Preparation and process as required",0,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy data to 02.00 Data Preparation and process as required}{isparallel = N}","n/a","n/a"
52,1,"   02.001 Delete data","Delete all data from the Data Preparation dataset",51,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,DELETE DATA,"n/a"," {Industry = *} {Product = *} {Asset = *} {Measure = *} {Source = *} {Periodicity = *} {Adjustment Basis = *}","n/a"
53,1,"   02.10 Input Source data","Copy input data from Local and Other Systems, process to Adjustment Basis RF where required",51,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy input data from Local and Other Systems, process to Adjustment Basis RF where required}{isparallel = N}","n/a","n/a"
54,2,"      Dummy Parallel Task 54",53,DUMMY PARALLEL TASK,n/a,n/a,n/a,n/a,n/a,n/a,n/a,DUMMY SUB TASK,n/a,n/a,n/a
55,3,"         02.11 Input QSI data","Copy QSI input data from Inventories Local",54,TASK (Not Parallel),N,Y,Y,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy QSI input data from Inventories Local}{isparallel = N}","n/a","n/a"
56,4,"            02.111 Copy BV QSI","Copy BV, QSI, Q data from Input: Invento",55,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = Input: Inventories Local}{status = Work in progress}}"," {Industry = *} {Product = TOTAL} {Asset = *} {Sector = S.1} {Measure = BV} {Source = QSI} {Adjustment Basis = RF} {Allocation = V} {Prices = CP} {Periodicity = Q}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Periodicity-> (Direct) Periodicity}{Adjustment Basis-> (Direct) Adjustment Basis}"
57,3,"         02.12 Input Other data","Copy Other input data from Inventories Local",54,TASK (Not Parallel),N,Y,Y,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy Other input data from Inventories Local}{isparallel = N}","n/a","n/a"
58,4,"            02.121 Copy BV Other","Copy, BV, Other, Q data from Input: Inventories Local",57,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = Input: Inventories Local}{status = Work in progress}}"," {Industry = *} {Product = TOTAL} {Asset = *} {Sector = S.1} {Measure = BV} {Source = Other} {Adjustment Basis = RF} {Allocation = V} {Prices = CP} {Periodicity = Q}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Periodicity-> (Direct) Periodicity}{Adjustment Basis-> (Direct) Adjustment Basis}"
59,4,"            02.122 Copy BVC Other","Copy BVC, Other, Q, Asset AN.121, AN.122, AN.123, Industry 01 from Input: Inventories Local",57,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = Input: Inventories Local}{status = Work in progress}}"," {Industry = 01} {Product = TOTAL} {Asset = AN.121, AN.122, AN.123} {Sector = S.1} {Measure = BVC} {Source = Other} {Adjustment Basis = RF} {Allocation = V} {Prices = CP} {Periodicity = Q}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Periodicity-> (Direct) Periodicity}{Adjustment Basis-> (Direct) Adjustment Basis}"
60,4,"            02.123 Copy BV Other","Copy BV, Other, A, Asset AN.121, AN.122, AN.123, Industry 01 from Input: Inventories Local",57,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = Input: Inventories Local}{status = Work in progress}}"," {Industry = 01} {Product = TOTAL} {Asset = AN.121, AN.122, AN.123} {Sector = S.1} {Measure = BV} {Source = Other} {Adjustment Basis = RF} {Allocation = V} {Prices = CP} {Periodicity = A}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Periodicity-> (Direct) Periodicity}{Adjustment Basis-> (Direct) Adjustment Basis}"
61,3,"         02.13 Input DEF data","Copy DEF input data from Inventories Local, GDPO and Product pattern prep, adjust as required",54,TASK (Not Parallel),N,Y,Y,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy DEF input data from Inventories Local, GDPO and Product pattern prep, adjust as required}{isparallel = N}","n/a","n/a"
62,4,"            02.131 Copy UWDEF DEF A1.2","Copy UWDEF, DEF, M, Asset AN.12, Industry TOTAL, Product adjustments (A1.2) from Input: Inventories",61,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = Input: Inventories Local}{status = Work in progress}}"," {Industry = TOTAL} {Product = *} {Asset = AN.12} {Sector = S.1} {Measure = UWDEF} {Source = DEF} {Adjustment Basis = A1.2} {Allocation = V} {Prices = CP} {Periodicity = M}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Periodicity-> (Direct) Periodicity}{Adjustment Basis-> (Direct) Adjustment Basis}"
63,4,"            02.132 Copy UWDEF DEF RF","Copy UWDEF, DEF, M, Asset AN.12, Industry TOTAL, Product data (RF) from Input: GDP(O)",61,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress",1996OCT, ,COPY BETWEEN DATASETS,"{source dataset{name = Input: GDP(O)}{status = Work in progress}}"," {Product = *}","{TOTAL-> (Unmapped) Industry}{Product-> (Direct) Product}{AN.12-> (Unmapped) Asset}{UWDEF-> (Unmapped) Measure}{DEF-> (Unmapped) Source}{M-> (Unmapped) Periodicity}{RF-> (Unmapped) Adjustment Basis}"
64,4,"            02.133 Calc UWDEF DEF RQ","Add RF and A1.2 to create RQ, UWDEF, DEF, M, AN.12, Industry TOTAL, Product Bottom level",61,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,FORMULA,"{items to calculate {Adjustment Basis = RQ}}{formula = RF + A1.2}"," {Industry = TOTAL} {Product = group Bottom level} {Asset = AN.12} {Measure = 'UWDEF'} {Source = DEF} {Periodicity = M}","n/a"
65,4,"            02.134 Copy UWDEF DEF to Assets","Copy UWDEF, DEF, M, Asset AN.12, RQ, Industry TOTAL to AN.121, 2, 3, 4, 5, RF, Industry Bottom level",61,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress",1996OCT, ,COPY BETWEEN DATASETS,"{source dataset{name = 02.00 Data Preparation}{status = Work in progress}}"," {Industry = TOTAL} {Product = group Bottom level} {Asset = AN.12} {Measure = UWDEF} {Source = DEF} {Periodicity = M} {Adjustment Basis = RQ}","{group Bottom level-> (Unmapped) Industry}{Product-> (Direct) Product}{AN.121, AN.122, AN.123, AN.124, AN.125-> (Unmapped) Asset}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Periodicity-> (Direct) Periodicity}{RF-> (Unmapped) Adjustment Basis}"
66,4,"            02.135 Copy W DEF AN.122-5","Copy W, DEF, A, Asset AN.122, 3, 4, 5, Industry & Product Bottom level from Input: Inventories Local",61,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = Input: Inventories Local}{status = Work in progress}}"," {Industry = *} {Product = *} {Asset = AN.122, AN.123, AN.124, AN.125} {Sector = S.1} {Measure = W} {Source = DEF} {Adjustment Basis = RF} {Allocation = V} {Prices = CP} {Periodicity = A}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Periodicity-> (Direct) Periodicity}{Adjustment Basis-> (Direct) Adjustment Basis}"
67,4,"            02.136 W DEF AN.121","Copy W, DEF, A, Asset AN.121, Industry & Product Bottom level from Product Pattern Prep",61,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 01.00 Product Pattern Prep}{status = Work in progress}}"," {Industry = group Bottom level} {Asset = 'AN.121'} {Product = group Bottom level} {Allocation = 'P'} {Adjustment = 'RF'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{W-> (Unmapped) Measure}{DEF-> (Unmapped) Source}{A-> (Unmapped) Periodicity}{Adjustment-> (Direct) Adjustment Basis}"
68,3,"         02.14 Input LOCAL data","Copy LOCAL input data from Inventories Local and Product pattern prep",54,TASK (Not Parallel),N,Y,Y,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy LOCAL input data from Inventories Local and Product pattern prep}{isparallel = N}","n/a","n/a"
69,4,"            02.141 Copy pattern LOCAL","Copy pattern, LOCAL, A, Asset AN.122, 3, 4, 5, Industry & Product Bottom level from Input: Inventori",68,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = Input: Inventories Local}{status = Work in progress}}"," {Industry = *} {Product = *} {Asset = AN.122, AN.123, AN.124, AN.125} {Sector = S.1} {Measure = pattern} {Source = LOCAL} {Adjustment Basis = RF} {Allocation = V} {Prices = CP} {Periodicity = A}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Periodicity-> (Direct) Periodicity}{Adjustment Basis-> (Direct) Adjustment Basis}"
70,4,"            02.142 Copy pattern LOCAL AN.121","Copy pattern, LOCAL, A, Asset AN.121, Industry & Product Bottom level from Product Pattern Prep",68,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 01.00 Product Pattern Prep}{status = Work in progress}}"," {Industry = group Bottom level} {Asset = 'AN.121'} {Product = group Bottom level} {Allocation = 'P'} {Adjustment = 'RF'}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{pattern-> (Unmapped) Measure}{LOCAL-> (Unmapped) Source}{A-> (Unmapped) Periodicity}{Adjustment-> (Direct) Adjustment Basis}"
71,3,"         02.15 Input ABI data","Copy ABI input data from Inventories Local and GDPP, extend and adjust as required",54,TASK (Not Parallel),N,Y,Y,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Copy ABI input data from Inventories Local and GDPP, extend and adjust as required}{isparallel = N}","n/a","n/a"
72,4,"            02.151 Copy ABI GDP P Local data","Copy BV.in, ABI, A, Asset AN.12, Industry Bottom level, Product TOTAL from Input: GDP(P) Local",71,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = Input: GDP(P) Local}{status = Work in progress}}"," {Industry = *}","{Industry-> (Direct) Industry}{TOTAL-> (Unmapped) Product}{AN.12-> (Unmapped) Asset}{BV.in-> (Unmapped) Measure}{ABI-> (Unmapped) Source}{A-> (Unmapped) Periodicity}{RF.in-> (Unmapped) Adjustment Basis}"
73,4,"            02.152 Copy BV.in ABI 97-00","Copy BV.in, ABI, A, Asset AN.12, Industry Bottom level, Product TOTAL, 97-00 from Input: Inventories",71,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress",1997,2000,COPY BETWEEN DATASETS,"{source dataset{name = Input: Inventories Local}{status = Work in progress}}"," {Industry = *} {Product = TOTAL} {Asset = AN.12} {Sector = S.1} {Measure = BV.in} {Source = ABI} {Adjustment Basis = RF.in} {Allocation = V} {Prices = CP} {Periodicity = A}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Periodicity-> (Direct) Periodicity}{Adjustment Basis-> (Direct) Adjustment Basis}"
74,4,"            02.153 Copy BV ABI A1.2","Copy BV, ABI, A, Asset AN.12, Product TOTAL, Industry adjustments (A1.2) from Input: Inventories Loc",71,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = Input: Inventories Local}{status = Work in progress}}"," {Industry = *} {Product = TOTAL} {Asset = AN.12} {Sector = S.1} {Measure = BV} {Source = ABI} {Adjustment Basis = A1.2} {Allocation = V} {Prices = CP} {Periodicity = A}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Periodicity-> (Direct) Periodicity}{Adjustment Basis-> (Direct) Adjustment Basis}"
75,4,"            02.154 Extend BV.in ABI to BV","Extend ABI, BV.in, A, Asset AN.12, Product TOTAL, RF.in to create BV",71,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,FORMULA,"{items to calculate {Measure = BV}}{formula = shape(BV.in,1996,$endyr,extend)}"," {Industry = *} {Product = 'TOTAL'} {Asset = 'AN.12'} {Source = 'ABI'} {Periodicity = 'A'} {Adjustment Basis = 'RF.in'}","n/a"
76,4,"            02.155 Calc BV ABI RF","Add RF.in and A1.2 to create RF, BV, ABI, A, AN.12, Industry group Bottom level, Product TOTAL",71,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,FORMULA,"{items to calculate {Adjustment Basis = RF}}{formula = RF.in + A1.2}"," {Industry = group Bottom level} {Product = TOTAL} {Asset = AN.12} {Measure = BV} {Source = ABI} {Periodicity = A}","n/a"
77,1,"   02.20 Calc BV BENCH data","Calculate BENCH data by benchmarking QSI to ABI, or copying where no ABI, create BENCHOTHER",51,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Calculate BENCH data by benchmarking QSI to ABI, or copying where no ABI, create BENCHOTHER}{isparallel = N}","n/a","n/a"
78,2,"      02.201 Agg BV QSI to AN.12","Aggregate BV, QSI, Q up Asset hierarchy to AN.12",77,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,AGGREGATE,"{aggregate dimension = Asset}{top level specification = AN.12}"," {Industry = group 01.20 QSI Industries} {Product = 'TOTAL'} {Measure = 'BV'} {Source = 'QSI'} {Periodicity = Q} {Adjustment Basis = RF}","n/a"
79,2,"      02.202 Calc BV BENCH Q data","Benchmark QSI Q to ABI A to create BENCH Q for BV, AN.12, Industry group 01.20 Benchmark ABI and QSI",77,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,FORMULA,"{items to calculate {Periodicity = Q} {Source = BENCH}}{formula = Conround(benchcd(Q:QSI, A:ABI, add, 0, pit, Q4, 0.9999),0)}"," {Industry = group 01.20 Benchmark ABI and QSI} {Product = TOTAL} {Asset = AN.12} {Measure = BV} {Adjustment Basis = RF}","n/a"
80,2,"      02.203 Calc BENCH other Q data","Calculate BENCH Q data as equal to QSI for BV, AN.12, Industry group 01.20 Benchmark QSI but no ABI",77,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,FORMULA,"{items to calculate {Source = BENCH}}{formula = QSI}"," {Industry = group 01.20 Benchmark QSI but no ABI} {Product = TOTAL} {Asset = AN.12} {Measure = BV} {Periodicity = Q} {Adjustment Basis = RF}","n/a"
81,2,"      02.204 Calc BENCH other Q data","Calculate BENCH Q data as equal to QSI for BV, AN.12, Industry 65.1-2, 65.3, 66, 84",77,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 02.00 Data Preparation}{status = Work in progress}}"," {Industry = 65.1-2, 65.3, 66, 84} {Product = TOTAL} {Asset = AN.12} {Measure = BV} {Source = QSI} {Periodicity = Q} {Adjustment Basis = RF}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{Asset-> (Direct) Asset}{Measure-> (Direct) Measure}{BENCH-> (Unmapped) Source}{Periodicity-> (Direct) Periodicity}{Adjustment Basis-> (Direct) Adjustment Basis}"
82,2,"      02.205 Prorate BENCH from AN.12","Prorate BV, BENCH, Q down the Asset hierarchy from AN.12, using QSI as the pattern",77,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,PRORATE,"{measure dimension = Source}{hierarchy dimension = Asset}{prorate item = BENCH}{pattern item = QSI}{top level specification = AN.12}"," {Industry = group 01.20 QSI Industries} {Product = TOTAL} {Measure = BV} {Periodicity = Q} {Adjustment Basis = RF}","n/a"
83,2,"      02.206 Calc BV BENCHOTHER","Calculate Q BENCHOTHER as BENCH + Other for BV, Asset group Main, various Industries",77,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,FORMULA,"{items to calculate {Source = BENCHOTHER}}{formula = BENCH + Other}"," {Industry = 01, 06, 46, 55, 56, 64, 65.1-2, 65.3, 66, 84} {Product = TOTAL} {Asset = group Main} {Measure = BV} {Periodicity = Q} {Adjustment Basis = RF}","n/a"
84,1,"   02.30 Calc BV ABI quarters","Calculate ABI data by splining and extending",51,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Calculate ABI data by splining and extending}{isparallel = N}","n/a","n/a"
85,2,"      02.301 Spline BV ABI to Q","Spline ABI Annual to Quarters for BV, AN.12, Industry group 01.50 ABI Industries",84,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress",$startqtr, ,FORMULA,"{items to calculate {Periodicity = Q}}{formula = Conround (Spline(A, Q,end, $endqtr),0)}"," {Industry = group 01.50 ABI Industries} {Product = TOTAL} {Asset = AN.12} {Measure = BV} {Source = ABI} {Adjustment Basis = RF}","n/a"
86,2,"      02.302 Copy AN.12 to AN.122","Copy BV, ABI, Q, AN.12 to AN.122 for Industry group 01.50 ABI Industries",84,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,COPY BETWEEN DATASETS,"{source dataset{name = 02.00 Data Preparation}{status = Work in progress}}"," {Industry = group 01.50 ABI Industries} {Product = TOTAL} {Asset = AN.12} {Measure = BV} {Source = ABI} {Periodicity = Q} {Adjustment Basis = RF}","{Industry-> (Direct) Industry}{Product-> (Direct) Product}{AN.122-> (Unmapped) Asset}{Measure-> (Direct) Measure}{Source-> (Direct) Source}{Periodicity-> (Direct) Periodicity}{Adjustment Basis-> (Direct) Adjustment Basis}"
87,2,"      02.303 Extend BV ABI quarters","Extend BV, ABI, Q, AN.122 data for Industry group 01.50 ABI Industries",84,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,FORMULA,"{items to calculate {Periodicity = Q}}{formula = Shape (Q, $startqtr, $endqtr, Extend)}"," {Industry = group 01.50 ABI Industries} {Product = TOTAL} {Asset = AN.122} {Measure = BV} {Source = ABI} {Adjustment Basis = RF}","n/a"
88,1,"   02.40 Calc DEF DEF months","Process WDEF and W data then apply to each other to create DEF at required levels",51,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Process WDEF and W data then apply to each other to create DEF at required levels}{isparallel = N}","n/a","n/a"
89,2,"      02.41 Spread and Agg W DEF M","Spread annual, W, DEF to months then aggregate up Asset, Industry and Product",88,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Spread annual, W, DEF to months then aggregate up Asset, Industry and Product}{isparallel = N}","n/a","n/a"
90,3,"         02.411 Spread W DEF to M","Spread (Average) DEF Annual to Months for W, AN.121, 2, 3, 4, 5, Industry & Product Bottom level",89,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress",1996OCT, ,FORMULA,"{items to calculate {Periodicity = M}}{formula = SPREAD (A, M, Average, $endmth) }"," {Industry = group Bottom level} {Product = group Bottom level} {Asset = 'AN.121','AN.122','AN.123','AN.124','AN.125'} {Measure = W} {Source = DEF} {Adjustment Basis = RF}","n/a"
91,3,"         02.412 Agg W DEF to AN.12","Aggregate W, DEF, M up Asset hierarchy to AN.12 for Industry & Product Bottom level",89,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,AGGREGATE,"{aggregate dimension = Asset}{top level specification = AN.12}"," {Industry = group Bottom level} {Product = group Bottom level} {Measure = W} {Source = DEF} {Periodicity = M} {Adjustment Basis = RF}","n/a"
92,3,"         02.413 Agg W DEF to TOTAL","Aggregate W, DEF, M up Industry hierarchy to TOTAL for Asset group All Assets, Product bottom level",89,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,AGGREGATE,"{aggregate dimension = Industry}{top level specification = TOTAL}"," {Product = group Bottom level} {Asset = group All Assets} {Measure = W} {Source = DEF} {Periodicity = M} {Adjustment Basis = RF}","n/a"
93,3,"         02.414 Agg W DEF to TOTAL","Aggregate W, DEF, M up Product hierarchy to TOTAL for Asset group All Assets, all Industries",89,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,AGGREGATE,"{aggregate dimension = Product}{top level specification = TOTAL}"," {Industry = *} {Asset = group All Assets} {Measure = W} {Source = DEF} {Periodicity = M} {Adjustment Basis = RF}","n/a"
94,2,"      02.42 Calc and Agg WDEF DEF M","Calculate WDEF as UWDEF * W for DEF, M, then aggregate up Asset, Industry and Product",88,TASK (Not Parallel),N,N,N,"n/a","n/a",n/a,n/a,SUB TASK,"{description = Calculate WDEF as UWDEF * W for DEF, M, then aggregate up Asset, Industry and Product}{isparallel = N}","n/a","n/a"
95,3,"         Dummy Parallel Task 95",94,DUMMY PARALLEL TASK,n/a,n/a,n/a,n/a,n/a,n/a,n/a,DUMMY SUB TASK,n/a,n/a,n/a
96,4,"            02.421 Calc WDEF DEF M AN.121","Calculate WDEF as UWDEF * W for DEF, M, AN.121, Industry & Product bottom level",95,CALCULATION DEFINITION,N,Y,Y,"02.00 Data Preparation","Work in progress", , ,FORMULA,"{items to calculate {Measure = WDEF}}{formula = Round ((UWDEF * W),2)}"," {Industry = group Bottom level} {Product = group Bottom level} {Asset = AN.121} {Source = DEF} {Periodicity = M} {Adjustment Basis = RF}","n/a"
97,4,"            02.422 Calc WDEF DEF M AN.122","Calculate WDEF as UWDEF * W for DEF, M, AN.122, Industry & Product bottom level",95,CALCULATION DEFINITION,N,Y,Y,"02.00 Data Preparation","Work in progress", , ,FORMULA,"{items to calculate {Measure = WDEF}}{formula = Round ((UWDEF * W),2)}"," {Industry = group Bottom level} {Product = group Bottom level} {Asset = AN.122} {Source = DEF} {Periodicity = M} {Adjustment Basis = RF}","n/a"
98,4,"            02.423 Calc WDEF DEF M AN.123","Calculate WDEF as UWDEF * W for DEF, M, AN.123, Industry & Product bottom level",95,CALCULATION DEFINITION,N,Y,Y,"02.00 Data Preparation","Work in progress", , ,FORMULA,"{items to calculate {Measure = WDEF}}{formula = Round ((UWDEF * W),2)}"," {Industry = group Bottom level} {Product = group Bottom level} {Asset = AN.123} {Source = DEF} {Periodicity = M} {Adjustment Basis = RF}","n/a"
99,4,"            02.424 Calc WDEF DEF M AN.124","Calculate WDEF as UWDEF * W for DEF, M, AN.124, Industry & Product bottom level",95,CALCULATION DEFINITION,N,Y,Y,"02.00 Data Preparation","Work in progress", , ,FORMULA,"{items to calculate {Measure = WDEF}}{formula = Round ((UWDEF * W),2)}"," {Industry = group Bottom level} {Product = group Bottom level} {Asset = AN.124} {Source = DEF} {Periodicity = M} {Adjustment Basis = RF}","n/a"
100,4,"            02.425 Calc WDEF DEF M AN.125","Calculate WDEF as UWDEF * W for DEF, M, AN.125, Industry & Product bottom level",95,CALCULATION DEFINITION,N,Y,Y,"02.00 Data Preparation","Work in progress", , ,FORMULA,"{items to calculate {Measure = WDEF}}{formula = Round ((UWDEF * W),2)}"," {Industry = group Bottom level} {Product = group Bottom level} {Asset = AN.125} {Source = DEF} {Periodicity = M} {Adjustment Basis = RF}","n/a"
101,3,"         02.426 Agg WDEF DEF to AN.12","Aggregate WDEF, DEF, M up Asset hierarchy to AN.12 for Product & Industry bottom level",94,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,AGGREGATE,"{aggregate dimension = Asset}{top level specification = AN.12}"," {Industry = group Bottom level} {Product = group Bottom level} {Measure = WDEF} {Source = DEF} {Periodicity = M} {Adjustment Basis = RF}","n/a"
102,3,"         02.427 Agg WDEF DEF to TOTAL","Aggregate WDEF, DEF, M up Industry hierarchy to TOTAL for Asset group All Assets, Prod bottom level",94,CALCULATION DEFINITION,N,N,N,"02.00 Data Preparation","Work in progress", , ,AGGREGATE,"{aggregate dimension = Industry}{top level specification = TOTAL}"," {Product = group Bottom level} {Asset = group All Assets} {Measure = WDEF} {Source = DEF} {Periodicity = M} {Adjustment Basis = RF}","n/a"
